Task ID,Task Name,Start date,Due date,Status,Priority,List (ClickUp),Tags,Description content,Task type
13,Planificación inicial y base del Gantt,2026-05-10,2026-05-10,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 7,Task
14,Seguimiento semanal,2026-05-10,2026-05-22,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 13 | Notas: Tarea continua,Task
15,Inicialización frontend y backend,2026-05-10,2026-05-10,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 8,Task
16,Configuración de base de datos,2026-05-11,2026-05-11,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 10;15,Task
17,Autenticación básica,2026-05-12,2026-05-12,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 12;16,Task
18,Estructura principal del proyecto,2026-05-11,2026-05-12,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 15,Task
19,Diseño de pantallas principales,2026-05-11,2026-05-12,To do,3,CodeAtlas - Planificación,Base del proyecto,Grupo: Base del proyecto | Predecesoras (referencia interna): 15,Task
20,Inicio parser MD,2026-05-11,2026-05-11,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 15,Task
21,Parser MD completo,2026-05-12,2026-05-13,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 20,Task
22,Subida y lectura de archivos MD,2026-05-14,2026-05-14,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 21,Task
23,Procesado de documentos,2026-05-15,2026-05-15,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 22,Task
24,Representación visual principal,2026-05-16,2026-05-17,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 23,Task
25,Integración frontend backend base de datos,2026-05-18,2026-05-18,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 24,Task
26,Pruebas base del MVP,2026-05-19,2026-05-19,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 25,Task
27,Planificación de tests,2026-05-19,2026-05-19,To do,3,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 25,Task
28,Cierre MVP,2026-05-20,2026-05-20,To do,2,CodeAtlas - Planificación,MVP documentación estructurada,Grupo: MVP documentación estructurada | Predecesoras (referencia interna): 26;27 | Notas: Hito,Milestone
29,Memoria primer avance,2026-05-12,2026-05-16,To do,3,CodeAtlas - Planificación,Documentación paralela,Grupo: Documentación paralela | Predecesoras (referencia interna): 13,Task
30,Manual técnico primer avance,2026-05-12,2026-05-16,To do,3,CodeAtlas - Planificación,Documentación paralela,Grupo: Documentación paralela | Predecesoras (referencia interna): 13,Task
31,Manual de usuario primer avance,2026-05-12,2026-05-16,To do,3,CodeAtlas - Planificación,Documentación paralela,Grupo: Documentación paralela | Predecesoras (referencia interna): 13,Task
32,Justificación plataforma desarrollo producción,2026-05-15,2026-05-15,To do,3,CodeAtlas - Planificación,Documentación paralela,Grupo: Documentación paralela | Predecesoras (referencia interna): 29;30,Task
33,Anexos iniciales,2026-05-16,2026-05-16,To do,3,CodeAtlas - Planificación,Documentación paralela,Grupo: Documentación paralela | Predecesoras (referencia interna): 29;30;31,Task
34,Análisis de aplicaciones ya creadas,2026-05-20,2026-05-20,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 28,Task
35,Detección de archivos y módulos,2026-05-20,2026-05-20,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 34,Task
36,Detección de funciones relaciones e imports,2026-05-21,2026-05-21,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 35,Task
37,Transformación al formato CodeAtlas,2026-05-21,2026-05-21,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 36,Task
38,Integración visual de la segunda funcionalidad,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 37,Task
39,Revisión técnica global,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Aplicación completa,Grupo: Aplicación completa | Predecesoras (referencia interna): 38,Task
40,Revisión de errores,2026-05-20,2026-05-21,To do,3,CodeAtlas - Planificación,Calidad y seguridad,Grupo: Calidad y seguridad | Predecesoras (referencia interna): 28,Task
41,Seguridad básica,2026-05-20,2026-05-20,To do,3,CodeAtlas - Planificación,Calidad y seguridad,Grupo: Calidad y seguridad | Predecesoras (referencia interna): 28,Task
42,Robustez ante fallos y ataques comunes,2026-05-21,2026-05-21,To do,3,CodeAtlas - Planificación,Calidad y seguridad,Grupo: Calidad y seguridad | Predecesoras (referencia interna): 41,Task
43,Responsive y multidispositivo,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Calidad y seguridad,Grupo: Calidad y seguridad | Predecesoras (referencia interna): 38,Task
44,SSH seguro y HTTPS,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Calidad y seguridad,Grupo: Calidad y seguridad | Predecesoras (referencia interna): 39,Task
45,Entorno de producción,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 39,Task
46,Despliegue y URL final,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 44;45,Task
47,Memoria final,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 29,Task
48,Manual técnico final,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 30,Task
49,Manual de usuario final,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 31,Task
50,Anexos finales,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 33,Task
51,Presentación multimedia,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 32,Task
52,Revisión texto diapositivas,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 51,Task
53,Guion final,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 51,Task
54,Exportación PDF y material Moodle/nube,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 47;48;49;50;51;53,Task
55,Defensa individual y ensayo,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 53,Task
56,Punto de innovación,2026-05-22,2026-05-22,To do,3,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 39,Task
57,Entrega lista,2026-05-22,2026-05-22,To do,2,CodeAtlas - Planificación,Cierre y entrega,Grupo: Cierre y entrega | Predecesoras (referencia interna): 54;55;56 | Notas: Hito final,Milestone
